Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00174619017977,6.24707071351371E-05,-0.0255370391164361,0,0,0,1.00225690416807,0.00104861765126244,-3.62433809463736E-06,2.84889611920193E-05,0.00356385648031135,2.01598860300557E-06,0.00416220148464466,0,0,0,0,0,0,package://Assem2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/base_link.STL,,mm-1,Coordinate System3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
linkright,3.46944695195361E-18,0.00559515385625099,1.80411241501588E-16,0,0,0,0.10981823361294,8.68564732243223E-05,-2.72791896451786E-21,4.14375796986194E-21,0.000170732322983804,-9.0750769019773E-21,8.68564732243223E-05,0,0,0,0,0,0,package://Assem2/meshes/linkright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/linkright.STL,,Part2-2,Coordinate System5,Axis1,rightlink,continuous,-0.06,-0.06016,-0.023348,0,0,0,base_link,0,1,0,1,1,,,,,,,,,,
linkleft,-1.04083408558608E-17,-0.00559515385625081,1.38777878078145E-17,0,0,0,0.10981823361294,8.68564732243222E-05,1.41311408770085E-20,4.30502056982483E-23,0.000170732322983803,8.48943230662383E-21,8.68564732243222E-05,0,0,0,0,0,0,package://Assem2/meshes/linkleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/linkleft.STL,,Part2-1,Coordinate System4,Axis1,leftjoint,continuous,-0.06,0.06016,-0.023348,0,0,0,base_link,0,1,0,1,1,,,,,,,,,,
